Media Sources,Tweets Ago,compound,neg,pos,neu
CBSNews,84,0.0,0.0,0.0,1.0
CBSNews,85,-0.1027,0.055,0.0,0.945
CBSNews,86,0.4404,0.0,0.127,0.873
CBSNews,87,0.0,0.0,0.0,1.0
CBSNews,88,0.2484,0.087,0.126,0.788
CBSNews,89,0.0,0.0,0.0,1.0
CBSNews,90,0.3612,0.0,0.106,0.894
CBSNews,91,0.5256,0.0,0.159,0.841
CBSNews,92,-0.296,0.099,0.0,0.901
CBSNews,93,0.875,0.0,0.357,0.643
CBSNews,94,-0.25,0.23,0.162,0.608
CBSNews,95,-0.0258,0.107,0.102,0.791
CBSNews,96,0.4767,0.0,0.186,0.814
CBSNews,97,-0.3182,0.091,0.0,0.909
CBSNews,98,0.4019,0.0,0.137,0.863
CBSNews,99,0.0,0.0,0.0,1.0
CNN,0,0.0,0.0,0.0,1.0
CNN,1,-0.4767,0.162,0.0,0.838
CNN,2,0.0,0.0,0.0,1.0
CNN,3,0.4019,0.0,0.137,0.863
CNN,4,0.5719,0.0,0.236,0.764
CNN,5,0.6037,0.0,0.188,0.812
CNN,6,0.0,0.0,0.0,1.0
CNN,7,-0.5106,0.199,0.093,0.707
CNN,8,-0.6705,0.22,0.0,0.78
CNN,9,0.4019,0.0,0.13,0.87
CNN,10,-0.3612,0.135,0.0,0.865
CNN,11,-0.296,0.157,0.087,0.756
CNN,12,-0.0516,0.079,0.0,0.921
CNN,13,-0.3818,0.115,0.0,0.885
CNN,14,-0.8555,0.356,0.0,0.644
CNN,15,-0.5267,0.196,0.0,0.804
CNN,16,0.0,0.0,0.0,1.0
CNN,17,0.3875,0.0,0.116,0.884
CNN,18,0.2057,0.0,0.092,0.908
CNN,19,-0.4019,0.137,0.0,0.863
CNN,20,0.0,0.0,0.0,1.0
CNN,21,-0.4767,0.162,0.0,0.838
CNN,22,0.0,0.0,0.0,1.0
CNN,23,0.4019,0.0,0.137,0.863
CNN,24,0.5719,0.0,0.236,0.764
CNN,25,0.6037,0.0,0.188,0.812
CNN,26,0.0,0.0,0.0,1.0
CNN,27,-0.5106,0.199,0.093,0.707
CNN,28,-0.6705,0.22,0.0,0.78
CNN,29,0.4019,0.0,0.13,0.87
CNN,30,-0.3612,0.135,0.0,0.865
CNN,31,-0.296,0.157,0.087,0.756
CNN,32,-0.0516,0.079,0.0,0.921
CNN,33,-0.3818,0.115,0.0,0.885
CNN,34,-0.8555,0.356,0.0,0.644
CNN,35,-0.5267,0.196,0.0,0.804
CNN,36,0.0,0.0,0.0,1.0
CNN,37,0.3875,0.0,0.116,0.884
CNN,38,0.2057,0.0,0.092,0.908
CNN,39,-0.4019,0.137,0.0,0.863
CNN,40,-0.4019,0.13,0.0,0.87
CNN,41,0.0,0.0,0.0,1.0
CNN,42,0.0,0.0,0.0,1.0
CNN,43,-0.5574,0.167,0.0,0.833
CNN,44,0.4019,0.0,0.213,0.787
CNN,45,-0.34,0.107,0.0,0.893
CNN,46,0.2235,0.0,0.106,0.894
CNN,47,0.128,0.0,0.073,0.927
CNN,48,0.2023,0.0,0.091,0.909
CNN,49,-0.128,0.073,0.0,0.927
CNN,50,0.2235,0.0,0.106,0.894
CNN,51,0.0,0.0,0.0,1.0
CNN,52,0.0,0.0,0.0,1.0
CNN,53,-0.5994,0.17,0.0,0.83
CNN,54,-0.128,0.073,0.0,0.927
CNN,55,-0.1027,0.145,0.129,0.726
CNN,56,-0.3818,0.14,0.0,0.86
CNN,57,0.0772,0.104,0.117,0.779
CNN,58,-0.4404,0.153,0.0,0.847
CNN,59,0.4621,0.08,0.213,0.707
CNN,60,-0.5423,0.231,0.0,0.769
CNN,61,0.0,0.0,0.0,1.0
CNN,62,0.5859,0.0,0.183,0.817
CNN,63,-0.2263,0.095,0.0,0.905
CNN,64,-0.2732,0.123,0.0,0.877
CNN,65,0.0,0.0,0.0,1.0
CNN,66,0.0,0.0,0.0,1.0
CNN,67,0.128,0.0,0.07,0.93
CNN,68,-0.5574,0.153,0.0,0.847
CNN,69,-0.7096,0.335,0.12,0.545
CNN,70,0.0,0.0,0.0,1.0
CNN,71,0.0,0.0,0.0,1.0
CNN,72,0.4404,0.0,0.172,0.828
CNN,73,-0.802,0.339,0.0,0.661
CNN,74,-0.6249,0.282,0.0,0.718
CNN,75,-0.0516,0.159,0.116,0.725
CNN,76,-0.4019,0.153,0.0,0.847
CNN,77,-0.34,0.118,0.0,0.882
CNN,78,-0.7184,0.24,0.0,0.76
CNN,79,-0.7579,0.289,0.0,0.711
CNN,80,0.4939,0.0,0.151,0.849
CNN,81,0.0,0.0,0.0,1.0
CNN,82,-0.802,0.324,0.0,0.676
CNN,83,0.6808,0.095,0.285,0.62
CNN,84,-0.5719,0.227,0.0,0.773
CNN,85,-0.5423,0.231,0.0,0.769
CNN,86,0.7096,0.0,0.269,0.731
CNN,87,0.1027,0.108,0.123,0.769
CNN,88,0.0,0.0,0.0,1.0
CNN,89,0.0,0.0,0.0,1.0
CNN,90,0.7184,0.0,0.25,0.75
CNN,91,0.0,0.0,0.0,1.0
CNN,92,0.0,0.0,0.0,1.0
CNN,93,0.6369,0.0,0.257,0.743
CNN,94,0.5859,0.0,0.183,0.817
CNN,95,0.5267,0.0,0.207,0.793
CNN,96,0.0,0.0,0.0,1.0
CNN,97,0.0,0.0,0.0,1.0
CNN,98,0.5267,0.0,0.152,0.848
CNN,99,0.0,0.0,0.0,1.0
FoxNews,0,0.5994,0.0,0.308,0.692
FoxNews,1,0.8462,0.056,0.344,0.6
FoxNews,2,-0.5574,0.167,0.0,0.833
FoxNews,3,0.0,0.0,0.0,1.0
FoxNews,4,-0.5267,0.236,0.0,0.764
FoxNews,5,0.0,0.0,0.0,1.0
FoxNews,6,0.0,0.0,0.0,1.0
FoxNews,7,0.0,0.0,0.0,1.0
FoxNews,8,0.3182,0.0,0.126,0.874
FoxNews,9,0.0,0.0,0.0,1.0
FoxNews,10,0.0,0.0,0.0,1.0
FoxNews,11,0.3612,0.0,0.122,0.878
FoxNews,12,0.0,0.0,0.0,1.0
FoxNews,13,0.0,0.0,0.0,1.0
FoxNews,14,0.0,0.0,0.0,1.0
FoxNews,15,0.128,0.092,0.113,0.795
FoxNews,16,-0.296,0.115,0.0,0.885
FoxNews,17,0.4019,0.0,0.124,0.876
FoxNews,18,-0.2411,0.116,0.0,0.884
FoxNews,19,-0.5267,0.236,0.0,0.764
FoxNews,20,0.5994,0.0,0.308,0.692
FoxNews,21,0.8462,0.056,0.344,0.6
FoxNews,22,-0.5574,0.167,0.0,0.833
FoxNews,23,0.0,0.0,0.0,1.0
FoxNews,24,-0.5267,0.236,0.0,0.764
FoxNews,25,0.0,0.0,0.0,1.0
FoxNews,26,0.0,0.0,0.0,1.0
FoxNews,27,0.0,0.0,0.0,1.0
FoxNews,28,0.3182,0.0,0.126,0.874
FoxNews,29,0.0,0.0,0.0,1.0
FoxNews,30,0.0,0.0,0.0,1.0
FoxNews,31,0.3612,0.0,0.122,0.878
FoxNews,32,0.0,0.0,0.0,1.0
FoxNews,33,0.0,0.0,0.0,1.0
FoxNews,34,0.0,0.0,0.0,1.0
FoxNews,35,0.128,0.092,0.113,0.795
FoxNews,36,-0.296,0.115,0.0,0.885
FoxNews,37,0.4019,0.0,0.124,0.876
FoxNews,38,-0.2411,0.116,0.0,0.884
FoxNews,39,-0.5267,0.236,0.0,0.764
FoxNews,40,0.0,0.0,0.0,1.0
FoxNews,41,-0.1531,0.118,0.0,0.882
FoxNews,42,0.5574,0.0,0.286,0.714
FoxNews,43,0.6369,0.0,0.318,0.682
FoxNews,44,-0.5267,0.221,0.0,0.779
FoxNews,45,0.0,0.0,0.0,1.0
FoxNews,46,0.0,0.0,0.0,1.0
FoxNews,47,0.6705,0.0,0.244,0.756
FoxNews,48,0.8807,0.0,0.412,0.588
FoxNews,49,-0.7902,0.304,0.0,0.696
FoxNews,50,0.3818,0.0,0.247,0.753
FoxNews,51,0.3182,0.0,0.142,0.858
FoxNews,52,0.7841,0.0,0.288,0.712
FoxNews,53,0.0,0.0,0.0,1.0
FoxNews,54,0.7579,0.0,0.277,0.723
FoxNews,55,0.7717,0.0,0.261,0.739
FoxNews,56,0.0,0.0,0.0,1.0
FoxNews,57,0.0,0.0,0.0,1.0
FoxNews,58,-0.2732,0.202,0.142,0.656
FoxNews,59,-0.2006,0.101,0.0,0.899
FoxNews,60,-0.1027,0.104,0.0,0.896
FoxNews,61,0.0,0.0,0.0,1.0
FoxNews,62,0.4019,0.0,0.137,0.863
FoxNews,63,0.0,0.0,0.0,1.0
FoxNews,64,0.6249,0.0,0.267,0.733
FoxNews,65,0.0,0.0,0.0,1.0
FoxNews,66,0.296,0.0,0.115,0.885
FoxNews,67,0.3612,0.0,0.122,0.878
FoxNews,68,-0.6249,0.204,0.0,0.796
FoxNews,69,-0.296,0.104,0.0,0.896
FoxNews,70,-0.5994,0.245,0.0,0.755
FoxNews,71,-0.7845,0.353,0.138,0.509
FoxNews,72,-0.2023,0.167,0.0,0.833
FoxNews,73,-0.5574,0.167,0.0,0.833
FoxNews,74,-0.2023,0.141,0.0,0.859
FoxNews,75,0.0,0.0,0.0,1.0
FoxNews,76,-0.34,0.124,0.0,0.876
FoxNews,77,-0.0772,0.141,0.121,0.738
FoxNews,78,0.186,0.101,0.131,0.768
FoxNews,79,-0.4215,0.152,0.064,0.784
FoxNews,80,0.0,0.0,0.0,1.0
FoxNews,81,-0.6705,0.478,0.0,0.522
FoxNews,82,0.0,0.0,0.0,1.0
FoxNews,83,-0.4019,0.172,0.0,0.828
FoxNews,84,0.0,0.0,0.0,1.0
FoxNews,85,0.0,0.0,0.0,1.0
FoxNews,86,0.3818,0.0,0.115,0.885
FoxNews,87,-0.2732,0.182,0.128,0.69
FoxNews,88,0.4404,0.0,0.225,0.775
FoxNews,89,0.6124,0.0,0.263,0.737
FoxNews,90,0.0,0.0,0.0,1.0
FoxNews,91,0.1761,0.095,0.125,0.779
FoxNews,92,0.0772,0.0,0.115,0.885
FoxNews,93,-0.3182,0.119,0.0,0.881
FoxNews,94,-0.5267,0.167,0.0,0.833
FoxNews,95,0.4767,0.0,0.154,0.846
FoxNews,96,0.0,0.0,0.0,1.0
FoxNews,97,0.0,0.0,0.0,1.0
FoxNews,98,-0.3182,0.161,0.0,0.839
FoxNews,99,-0.4767,0.22,0.0,0.78
nytimes,0,0.5106,0.0,0.171,0.829
nytimes,1,0.0,0.0,0.0,1.0
nytimes,2,0.0,0.0,0.0,1.0
nytimes,3,0.0,0.0,0.0,1.0
nytimes,4,0.0,0.0,0.0,1.0
nytimes,5,0.0,0.0,0.0,1.0
nytimes,6,-0.2263,0.095,0.0,0.905
nytimes,7,0.0,0.0,0.0,1.0
nytimes,8,0.0,0.0,0.0,1.0
nytimes,9,-0.1027,0.069,0.0,0.931
nytimes,10,0.5859,0.0,0.231,0.769
nytimes,11,0.0,0.0,0.0,1.0
nytimes,12,-0.4404,0.213,0.103,0.684
nytimes,13,0.0,0.0,0.0,1.0
nytimes,14,0.0,0.0,0.0,1.0
nytimes,15,-0.4215,0.123,0.0,0.877
nytimes,16,-0.3412,0.107,0.0,0.893
nytimes,17,0.0,0.0,0.0,1.0
nytimes,18,0.0,0.0,0.0,1.0
nytimes,19,0.0,0.0,0.0,1.0
nytimes,20,0.5106,0.0,0.171,0.829
nytimes,21,0.0,0.0,0.0,1.0
nytimes,22,0.0,0.0,0.0,1.0
nytimes,23,0.0,0.0,0.0,1.0
nytimes,24,0.0,0.0,0.0,1.0
nytimes,25,0.0,0.0,0.0,1.0
nytimes,26,-0.2263,0.095,0.0,0.905
nytimes,27,0.0,0.0,0.0,1.0
nytimes,28,0.0,0.0,0.0,1.0
nytimes,29,-0.1027,0.069,0.0,0.931
nytimes,30,0.5859,0.0,0.231,0.769
nytimes,31,0.0,0.0,0.0,1.0
nytimes,32,-0.4404,0.213,0.103,0.684
nytimes,33,0.0,0.0,0.0,1.0
nytimes,34,0.0,0.0,0.0,1.0
nytimes,35,-0.4215,0.123,0.0,0.877
nytimes,36,-0.3412,0.107,0.0,0.893
nytimes,37,0.0,0.0,0.0,1.0
nytimes,38,0.0,0.0,0.0,1.0
nytimes,39,0.0,0.0,0.0,1.0
nytimes,40,0.0,0.0,0.0,1.0
nytimes,41,0.0,0.0,0.0,1.0
nytimes,42,0.0,0.0,0.0,1.0
nytimes,43,0.0,0.0,0.0,1.0
nytimes,44,-0.4404,0.108,0.0,0.892
nytimes,45,0.34,0.0,0.098,0.902
nytimes,46,-0.1779,0.093,0.062,0.844
nytimes,47,-0.5574,0.217,0.0,0.783
nytimes,48,0.0,0.0,0.0,1.0
nytimes,49,0.0772,0.0,0.075,0.925
nytimes,50,0.2732,0.08,0.16,0.76
nytimes,51,0.0,0.0,0.0,1.0
nytimes,52,0.1779,0.0,0.086,0.914
nytimes,53,-0.5574,0.175,0.0,0.825
nytimes,54,-0.7269,0.243,0.0,0.757
nytimes,55,0.0,0.0,0.0,1.0
